0000002000;scans;0000000052;DataLength
"header";0000000040;"lines"
"Date";26/10/2022;"Time";14:57:02
"ID";"EQP LOW ENERGY #15376";"Version";3
"Scans";1
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"SEM";"mass";1,00;200,00;1,00;100,000;100,000%;1,000000;1,000000;
"Environment";
"Global";"RGA"
"1st-dynode";-3500;"V"
"CRV_range";7;"c/s"
"CRV_resolution";6;"bits"
"D.C.quad";-12;"%"
"F1";1;"( 1 = on, 0 = off )"
"F2";0;"( 1 = on, 0 = off )"
"axis";-40,0;"V"
"cage";3,0;"V"
"delta-m";0;"%"
"discriminator";-10;"%"
"electron-energy";70,0;"V"
"emission";2,0000;"uA"
"energy";1,10;"V"
"extractor";304;"V"
"flight-focus";-105;"V"
"focus2";-200;"V"
"gate_delay";0,1;"uS"
"gate_width";0,0;"uS"
"gating";0;"( 1 = on, 0 = off )"
"gating_invert";0;"( 0 = normal, 1 = invert)"
"horiz";11;"%"
"lens1";356;"V"
"lens2";-110;"V"
"mass";28,00;"amu"
"mode-change-delay";1000;"ms"
"multiplier";1800;"V"
"plates";7,40;"V"
"resolution";0;"%"
"suppressor";-200;"V"
"transit-energy";3,00;"V"
"vert";-34;"%"
"Data";1
"Cycle";"Time";"ms";"mass amu";"SEM c/s"
0000000002;00:00:22;0000022143;  149,00;         0
0000000002;00:00:22;0000022143;  150,00;         0
0000000002;00:00:22;0000022143;  151,00;         0
0000000002;00:00:22;0000022143;  152,00;         0
0000000002;00:00:22;0000022143;  153,00;         0
0000000002;00:00:22;0000022143;  154,00;         0
0000000002;00:00:22;0000022143;  155,00;         0
0000000002;00:00:22;0000022143;  156,00;         0
0000000002;00:00:22;0000022143;  157,00;         0
0000000002;00:00:22;0000022143;  158,00;         0
0000000002;00:00:22;0000022143;  159,00;         0
0000000002;00:00:22;0000022143;  160,00;         0
0000000002;00:00:22;0000022143;  161,00;         0
0000000002;00:00:22;0000022143;  162,00;         0
0000000002;00:00:22;0000022143;  163,00;         0
0000000002;00:00:22;0000022143;  164,00;         0
0000000002;00:00:22;0000022143;  165,00;         0
0000000002;00:00:22;0000022143;  166,00;         0
0000000002;00:00:22;0000022143;  167,00;         0
0000000002;00:00:22;0000022143;  168,00;         0
0000000002;00:00:22;0000022143;  169,00;         0
0000000002;00:00:22;0000022143;  170,00;         0
0000000002;00:00:22;0000022143;  171,00;         0
0000000002;00:00:22;0000022143;  172,00;         0
0000000002;00:00:22;0000022143;  173,00;         0
0000000002;00:00:22;0000022143;  174,00;         0
0000000002;00:00:22;0000022143;  175,00;         0
0000000002;00:00:22;0000022143;  176,00;         0
0000000002;00:00:22;0000022143;  177,00;         0
0000000002;00:00:22;0000022143;  178,00;         0
0000000002;00:00:22;0000022143;  179,00;         0
0000000002;00:00:22;0000022143;  180,00;         0
0000000002;00:00:22;0000022143;  181,00;         0
0000000002;00:00:22;0000022143;  182,00;         0
0000000002;00:00:22;0000022143;  183,00;         0
0000000002;00:00:22;0000022143;  184,00;         0
0000000002;00:00:22;0000022143;  185,00;         0
0000000002;00:00:22;0000022143;  186,00;         0
0000000002;00:00:22;0000022143;  187,00;         0
0000000002;00:00:22;0000022143;  188,00;         0
0000000002;00:00:22;0000022143;  189,00;         0
0000000002;00:00:22;0000022143;  190,00;         0
0000000002;00:00:22;0000022143;  191,00;         0
0000000002;00:00:22;0000022143;  192,00;         0
0000000002;00:00:22;0000022143;  193,00;         0
0000000002;00:00:22;0000022143;  194,00;         0
0000000002;00:00:22;0000022143;  195,00;         0
0000000002;00:00:22;0000022143;  196,00;         0
0000000002;00:00:22;0000022143;  197,00;         0
0000000002;00:00:22;0000022143;  198,00;         0
0000000002;00:00:22;0000022143;  199,00;         0
0000000002;00:00:22;0000022143;  200,00;         0
0000000003;00:00:44;0000044215;    1,00;        70
0000000003;00:00:44;0000044215;    2,00;         0
0000000003;00:00:44;0000044215;    3,00;         0
0000000003;00:00:44;0000044215;    4,00;         0
0000000003;00:00:44;0000044215;    5,00;         0
0000000003;00:00:44;0000044215;    6,00;         0
0000000003;00:00:44;0000044215;    7,00;         0
